ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-42,274,-216,867,-715,-454,-2,-1,-2
-210,355,-387,795,-487,-1105,-3,-1,-1
-459,430,-546,351,-506,-1499,-2,-1,-1
-642,435,-471,-374,-466,-1855,-2,0,-2
-899,553,-402,-1092,-429,-2025,-2,0,-2
-1182,649,-251,-1307,110,-2003,-1,0,-2
-1441,650,-86,-1813,347,-1301,0,0,-2
-1577,534,226,-2297,305,-854,0,0,-2
-1436,270,369,-2207,156,-493,0,0,-2
-1497,65,533,-2515,-160,-410,1,0,-2
-1477,23,777,-1953,-170,189,1,0,-2
-1445,-103,746,-1551,-545,744,1,0,-2
-1311,-160,980,-781,-286,1232,1,0,-2
-1309,-158,926,-128,-403,1428,1,0,-2
-1148,-138,896,588,-280,1444,0,0,-2
-978,-134,826,1067,-471,1630,0,0,-2
-782,-12,646,1195,-844,1447,0,0,-2
-646,67,467,1261,-1444,1351,-1,0,-3
-420,95,351,1439,-1427,1173,-1,0,-3
-274,105,194,1439,-1682,902,-2,-1,-3
-102,72,32,1343,-1399,469,-2,-1,-2
-164,220,-153,729,-1190,-415,-2,-1,-2
-263,385,-260,481,-696,-968,-2,-1,-2
-495,439,-276,10,-734,-1317,-2,-1,-2
-563,508,-257,-259,-207,-1626,-2,-1,-2
-757,546,-178,-675,-145,-1766,-2,0,-3
-910,527,-170,-764,448,-2050,-1,0,-3
-1382,624,-54,-1622,389,-1912,0,0,-3
-1693,761,221,-1710,956,-1226,0,0,-3
-1631,680,455,-1784,732,-348,0,0,-2
-1477,507,808,-1583,373,380,0,0,-2
-1246,347,821,-957,417,674,0,0,-2
-1207,258,696,-625,182,746,0,0,-2
-1115,217,492,-386,290,768,0,0,-2
-1135,319,599,-521,-195,837,0,0,-2
-1220,336,624,-191,-166,884,0,0,-2
-1186,309,787,75,-616,1096,0,0,-2
-1141,275,736,490,-612,1235,0,0,-2
-1021,191,615,781,-687,1328,-1,0,-2
-818,157,451,935,-783,1255,-1,0,-2
-514,119,340,1017,-970,1050,-2,0,-2
-359,138,164,908,-1040,651,-2,-1,-2
-212,191,19,837,-1109,252,-2,-1,-2
-142,234,-202,692,-953,-162,-2,-1,-2
-184,271,-377,282,-865,-659,-2,-1,-2
-321,421,-312,-266,-430,-1248,-2,-1,-2
-624,547,-136,-774,-469,-1542,-2,-1,-2
-765,605,-304,-513,137,-1645,-1,0,-3
-797,584,-103,-1174,142,-1732,-1,0,-3
-1252,604,27,-1091,917,-1780,0,0,-3
-1758,630,26,-1696,740,-1400,0,0,-3
-1612,398,417,-1461,1223,-711,0,0,-2
-1781,384,416,-1479,657,-2,1,0,-2
-1695,317,654,-1631,310,485,1,0,-2
-1603,195,712,-1345,95,1010,1,0,-2
-1516,135,771,-907,55,1289,0,0,-2
-1408,20,670,-365,-30,1537,0,0,-1
-1169,96,632,-98,-392,1605,0,0,-2
-953,110,598,243,-588,1673,0,0,-2
-830,173,514,619,-938,1467,-1,0,-2
-657,173,335,934,-1011,1390,-1,0,-2
-492,212,292,802,-1290,1134,-2,0,-2
-360,199,146,926,-1502,746,-2,0,-2
-244,314,26,977,-1253,289,-2,-1,-2
-187,374,-108,807,-1374,-69,-2,-1,-2
-199,430,-269,636,-989,-627,-2,-1,-2
-395,535,-363,165,-789,-1100,-2,-1,-2
-452,569,-259,-204,-410,-1351,-2,-1,-2
-667,655,-123,-479,-294,-1508,-2,0,-2
-679,620,-40,-665,-170,-1543,-1,0,-2
-918,640,-49,-655,135,-1311,-1,0,-2
-1148,604,-53,-1229,3,-1250,0,0,-3
-1432,559,21,-1189,971,-1150,0,0,-3
-1356,475,184,-1890,771,-777,0,0,-2
-1502,405,438,-1899,934,-382,0,0,-2
-1511,274,446,-1694,525,161,1,0,-2
-1477,153,667,-1605,345,513,1,0,-2
-1477,66,740,-1125,-161,952,1,0,-2
